user_id,group,clicked,segment
1,control,0,dormant
2,treatment,0,active
3,treatment,0,active
4,treatment,0,dormant
5,control,0,active
6,control,0,dormant
7,control,0,new
8,treatment,0,active
9,treatment,0,dormant
10,treatment,0,active
11,control,0,active
12,treatment,0,active
13,treatment,1,active
14,control,0,active
15,control,0,active
16,control,0,new
17,control,0,dormant
18,treatment,0,new
19,control,0,dormant
20,control,0,active
21,treatment,0,active
22,control,0,active
23,control,1,active
24,control,0,dormant
25,control,0,dormant
26,treatment,0,active
27,control,1,active
28,treatment,1,active
29,treatment,0,active
30,control,0,active
31,treatment,0,dormant
32,control,1,active
33,control,0,dormant
34,treatment,1,active
35,treatment,0,active
36,treatment,0,new
37,control,0,dormant
38,control,0,active
39,treatment,0,new
40,control,0,active
41,control,1,active
42,control,0,dormant
43,control,0,dormant
44,treatment,0,active
45,control,0,active
46,treatment,0,new
47,control,0,active
48,treatment,0,active
49,treatment,0,dormant
50,control,1,new
51,treatment,0,active
52,treatment,0,dormant
53,treatment,1,dormant
54,treatment,0,active
55,treatment,0,dormant
56,treatment,0,new
57,control,0,active
58,control,0,active
59,control,0,new
60,control,0,dormant
61,control,0,active
62,control,0,dormant
63,treatment,0,dormant
64,control,0,dormant
65,control,0,new
66,treatment,0,active
67,control,0,active
68,treatment,0,dormant
69,control,0,active
70,treatment,1,dormant
71,treatment,1,active
72,control,0,active
73,control,0,active
74,treatment,0,dormant
75,treatment,1,dormant
76,treatment,0,active
77,treatment,0,active
78,control,0,active
79,control,0,dormant
80,control,1,active
81,treatment,0,dormant
82,treatment,0,dormant
83,control,0,active
84,control,0,dormant
85,control,0,active
86,control,0,dormant
87,treatment,0,active
88,treatment,0,active
89,treatment,0,dormant
90,control,0,active
91,control,0,dormant
92,treatment,0,dormant
93,treatment,0,dormant
94,treatment,0,active
95,treatment,0,dormant
96,control,0,dormant
97,treatment,0,active
98,control,0,dormant
99,control,0,new
100,control,0,active
101,control,1,new
102,treatment,0,active
103,control,1,active
104,treatment,0,active
105,treatment,0,dormant
106,control,0,active
107,control,0,new
108,treatment,0,new
109,control,0,dormant
110,control,0,active
111,control,0,new
112,control,0,new
113,treatment,0,active
114,treatment,0,dormant
115,treatment,0,dormant
116,treatment,0,dormant
117,treatment,0,active
118,control,0,active
119,treatment,0,active
120,treatment,0,active
121,treatment,0,dormant
122,treatment,0,new
123,control,0,new
124,control,0,dormant
125,control,0,dormant
126,control,0,active
127,treatment,0,dormant
128,treatment,0,active
129,control,0,active
130,treatment,0,dormant
131,control,1,active
132,control,0,active
133,control,0,new
134,control,0,active
135,treatment,0,active
136,control,0,active
137,treatment,0,active
138,treatment,0,active
139,control,0,dormant
140,treatment,0,active
141,treatment,0,new
142,control,0,active
143,control,1,active
144,control,0,dormant
145,control,0,dormant
146,control,0,dormant
147,treatment,0,new
148,treatment,0,active
149,control,0,active
150,control,0,new
151,treatment,1,active
152,control,0,active
153,control,0,active
154,control,0,dormant
155,treatment,0,active
156,control,0,active
157,treatment,0,active
158,treatment,0,dormant
159,control,1,active
160,treatment,0,active
161,control,0,dormant
162,treatment,0,new
163,treatment,0,dormant
164,treatment,0,dormant
165,control,1,active
166,treatment,0,active
167,control,0,active
168,control,0,new
169,control,0,active
170,treatment,0,new
171,treatment,0,new
172,control,0,active
173,treatment,0,active
174,control,0,active
175,treatment,0,active
176,control,0,active
177,treatment,0,new
178,control,0,active
179,treatment,0,active
180,control,0,active
181,control,0,new
182,control,0,dormant
183,treatment,0,new
184,treatment,0,new
185,control,0,active
186,treatment,0,active
187,treatment,0,active
188,treatment,0,active
189,treatment,0,dormant
190,control,0,active
191,control,0,active
192,treatment,0,dormant
193,treatment,0,dormant
194,treatment,1,dormant
195,control,0,active
196,control,1,new
197,treatment,0,dormant
198,treatment,0,active
199,treatment,0,dormant
200,treatment,0,new
201,treatment,0,active
202,control,0,active
203,control,0,active
204,treatment,0,active
205,treatment,0,new
206,control,0,active
207,control,0,dormant
208,treatment,0,dormant
209,control,0,dormant
210,control,0,active
211,treatment,1,active
212,treatment,0,active
213,treatment,0,active
214,control,0,active
215,treatment,1,new
216,control,0,active
217,control,0,dormant
218,treatment,0,active
219,treatment,0,dormant
220,treatment,0,new
221,treatment,0,active
222,treatment,0,new
223,control,1,dormant
224,control,0,new
225,control,0,dormant
226,control,0,active
227,treatment,0,active
228,control,0,active
229,treatment,0,dormant
230,treatment,0,new
231,treatment,0,dormant
232,treatment,0,active
233,treatment,0,new
234,control,0,dormant
235,control,0,active
236,treatment,0,active
237,control,0,active
238,control,0,new
239,treatment,0,new
240,control,0,active
241,treatment,0,active
242,treatment,0,dormant
243,treatment,0,new
244,control,0,dormant
245,control,0,dormant
246,treatment,1,active
247,control,0,dormant
248,treatment,0,active
249,treatment,1,new
250,treatment,0,active
251,control,0,new
252,control,0,active
253,treatment,0,new
254,control,0,active
255,control,1,active
256,treatment,0,dormant
257,treatment,0,active
258,treatment,0,new
259,treatment,0,dormant
260,control,0,dormant
261,treatment,0,new
262,treatment,0,new
263,control,0,dormant
264,treatment,1,new
265,treatment,0,active
266,treatment,0,active
267,treatment,0,dormant
268,treatment,0,active
269,control,0,active
270,control,0,active
271,treatment,0,active
272,treatment,0,new
273,treatment,1,dormant
274,treatment,0,new
275,treatment,1,dormant
276,treatment,0,active
277,treatment,0,active
278,treatment,0,active
279,treatment,0,new
280,treatment,0,active
281,treatment,0,active
282,control,0,new
283,control,1,dormant
284,control,0,active
285,treatment,0,active
286,control,0,new
287,control,0,new
288,treatment,0,active
289,control,0,active
290,treatment,0,new
291,control,0,dormant
292,control,0,new
293,treatment,0,dormant
294,control,0,new
295,control,0,active
296,treatment,1,active
297,treatment,0,dormant
298,control,0,dormant
299,treatment,0,new
300,control,0,active
301,control,1,new
302,treatment,0,active
303,treatment,0,dormant
304,treatment,1,active
305,treatment,0,dormant
306,treatment,0,dormant
307,treatment,1,active
308,control,0,active
309,treatment,1,dormant
310,control,0,new
311,control,1,active
312,control,0,active
313,control,1,active
314,treatment,0,new
315,treatment,0,active
316,treatment,0,active
317,control,0,dormant
318,control,0,dormant
319,control,0,active
320,control,0,new
321,treatment,0,dormant
322,treatment,0,dormant
323,treatment,1,active
324,control,0,new
325,treatment,0,active
326,treatment,0,active
327,treatment,0,active
328,treatment,0,dormant
329,control,0,dormant
330,control,0,dormant
331,control,0,active
332,treatment,0,dormant
333,control,0,dormant
334,control,0,active
335,control,0,new
336,control,0,active
337,treatment,0,dormant
338,treatment,0,active
339,control,0,dormant
340,control,0,new
341,control,0,new
342,control,0,active
343,control,0,active
344,control,0,active
345,control,1,new
346,treatment,0,dormant
347,treatment,0,active
348,control,1,active
349,control,0,new
350,treatment,0,dormant
351,treatment,0,active
352,treatment,0,active
353,treatment,0,active
354,control,0,dormant
355,control,0,new
356,treatment,0,new
357,control,0,active
358,treatment,0,new
359,treatment,0,active
360,treatment,0,active
361,control,0,new
362,treatment,1,active
363,control,1,active
364,treatment,0,new
365,treatment,0,active
366,control,0,dormant
367,treatment,0,new
368,treatment,0,dormant
369,control,0,active
370,control,0,active
371,control,0,active
372,control,1,active
373,control,0,dormant
374,treatment,0,active
375,control,1,active
376,control,0,dormant
377,treatment,0,dormant
378,control,0,new
379,treatment,0,active
380,control,0,new
381,control,0,dormant
382,treatment,0,active
383,treatment,0,active
384,treatment,0,active
385,treatment,1,dormant
386,treatment,0,active
387,control,0,new
388,control,1,dormant
389,treatment,0,new
390,treatment,1,active
391,treatment,1,active
392,control,0,active
393,control,0,active
394,treatment,0,new
395,control,0,active
396,treatment,0,active
397,treatment,0,active
398,control,0,active
399,treatment,0,new
400,treatment,0,dormant
401,control,0,dormant
402,treatment,0,active
403,treatment,0,new
404,treatment,0,dormant
405,control,1,active
406,treatment,0,active
407,control,0,new
408,control,0,dormant
409,treatment,0,dormant
410,control,0,active
411,control,0,active
412,treatment,0,dormant
413,treatment,0,dormant
414,treatment,0,dormant
415,treatment,1,dormant
416,control,0,active
417,control,0,dormant
418,control,0,new
419,treatment,0,new
420,treatment,0,active
421,treatment,0,active
422,treatment,0,new
423,control,0,dormant
424,control,0,dormant
425,control,0,new
426,treatment,0,dormant
427,control,0,dormant
428,treatment,0,active
429,control,0,active
430,control,0,active
431,control,0,new
432,treatment,0,active
433,treatment,0,active
434,control,0,new
435,control,1,dormant
436,treatment,0,dormant
437,control,0,active
438,treatment,0,new
439,treatment,0,active
440,control,0,active
441,control,0,active
442,treatment,0,active
443,control,0,active
444,control,1,dormant
445,treatment,0,active
446,treatment,0,dormant
447,treatment,0,active
448,treatment,0,active
449,control,0,dormant
450,control,1,new
451,treatment,0,new
452,treatment,1,new
453,control,0,dormant
454,treatment,1,dormant
455,control,0,dormant
456,control,0,dormant
457,control,0,active
458,control,0,dormant
459,control,0,active
460,control,0,active
461,control,0,dormant
462,treatment,0,active
463,treatment,1,active
464,treatment,1,active
465,treatment,0,new
466,control,0,active
467,control,0,active
468,treatment,0,new
469,control,0,active
470,treatment,0,active
471,control,0,active
472,treatment,0,active
473,control,0,active
474,treatment,0,active
475,treatment,0,active
476,treatment,0,new
477,control,0,dormant
478,treatment,0,dormant
479,treatment,0,active
480,treatment,0,active
481,treatment,0,new
482,treatment,0,active
483,control,0,new
484,treatment,0,active
485,treatment,0,new
486,treatment,0,active
487,control,0,active
488,control,1,dormant
489,treatment,0,dormant
490,treatment,0,active
491,control,0,new
492,treatment,0,active
493,control,0,active
494,control,0,dormant
495,control,0,dormant
496,control,0,new
497,treatment,0,active
498,control,0,active
499,treatment,0,dormant
500,treatment,0,active
501,treatment,0,active
502,treatment,0,active
503,control,0,active
504,treatment,0,active
505,treatment,0,active
506,control,0,dormant
507,treatment,0,dormant
508,treatment,0,active
509,treatment,0,active
510,treatment,0,active
511,treatment,0,active
512,control,0,dormant
513,treatment,0,new
514,treatment,0,dormant
515,control,0,dormant
516,control,0,active
517,control,0,active
518,treatment,0,new
519,treatment,0,new
520,control,0,active
521,treatment,0,active
522,control,0,dormant
523,treatment,0,active
524,treatment,0,dormant
525,treatment,0,new
526,control,0,active
527,control,0,new
528,control,0,new
529,control,0,new
530,treatment,0,active
531,treatment,0,active
532,treatment,0,dormant
533,treatment,1,active
534,treatment,0,active
535,treatment,0,active
536,treatment,0,dormant
537,treatment,0,active
538,control,0,active
539,control,0,active
540,control,0,dormant
541,treatment,0,dormant
542,treatment,0,active
543,control,0,new
544,treatment,0,active
545,treatment,1,dormant
546,control,0,dormant
547,control,1,dormant
548,treatment,0,active
549,treatment,0,new
550,treatment,0,new
551,treatment,0,dormant
552,treatment,0,active
553,treatment,0,active
554,treatment,0,dormant
555,treatment,0,active
556,control,0,dormant
557,control,0,active
558,control,0,dormant
559,treatment,0,active
560,treatment,1,active
561,treatment,0,active
562,control,1,active
563,control,0,dormant
564,control,0,dormant
565,control,0,dormant
566,treatment,0,dormant
567,control,0,dormant
568,control,0,active
569,treatment,1,active
570,control,0,active
571,treatment,0,dormant
572,treatment,0,active
573,control,0,active
574,treatment,0,dormant
575,treatment,1,new
576,treatment,1,dormant
577,control,1,dormant
578,treatment,1,dormant
579,control,0,active
580,control,0,dormant
581,control,0,new
582,treatment,1,active
583,control,0,active
584,control,0,active
585,treatment,0,active
586,control,0,new
587,control,0,active
588,control,0,active
589,control,0,new
590,control,0,dormant
591,control,0,dormant
592,treatment,0,new
593,control,0,active
594,control,0,dormant
595,treatment,0,active
596,control,0,active
597,treatment,0,active
598,control,0,active
599,control,0,new
600,control,0,new
601,control,0,new
602,control,0,active
603,control,0,new
604,control,1,dormant
605,control,0,active
606,control,0,dormant
607,control,0,active
608,control,0,active
609,treatment,0,new
610,treatment,0,dormant
611,control,0,active
612,treatment,0,dormant
613,treatment,0,new
614,control,0,dormant
615,treatment,0,active
616,treatment,0,active
617,control,1,active
618,control,0,new
619,treatment,0,active
620,treatment,0,active
621,control,0,active
622,control,0,new
623,control,0,dormant
624,control,1,dormant
625,treatment,1,active
626,control,0,active
627,control,0,new
628,treatment,0,new
629,control,0,new
630,control,0,new
631,treatment,0,new
632,treatment,0,dormant
633,treatment,0,new
634,treatment,0,dormant
635,control,0,active
636,control,1,active
637,treatment,0,new
638,control,0,active
639,control,0,new
640,control,0,active
