user_id,group,segment,opened,clicked
1,control,active,0,0
2,treatment,active,0,0
3,control,dormant,0,0
4,control,active,0,0
5,control,dormant,0,0
6,treatment,new,0,0
7,control,dormant,0,0
8,control,dormant,0,0
9,control,new,0,0
10,treatment,active,0,0
11,control,new,0,0
12,control,dormant,0,0
13,control,active,1,0
14,control,active,0,0
15,treatment,new,1,0
16,control,active,1,0
17,treatment,new,0,0
18,treatment,active,0,0
19,treatment,active,0,0
20,control,dormant,0,0
21,treatment,active,0,0
22,control,active,1,0
23,treatment,dormant,0,0
24,treatment,dormant,1,0
25,treatment,dormant,0,0
26,treatment,active,1,0
27,treatment,active,0,0
28,treatment,new,0,0
29,treatment,dormant,0,0
30,treatment,new,0,0
31,control,active,0,0
32,control,active,1,0
33,treatment,active,0,0
34,treatment,active,1,1
35,treatment,new,0,0
36,control,active,1,0
37,treatment,active,0,0
38,control,dormant,0,0
39,control,dormant,1,0
40,control,dormant,0,0
41,control,dormant,0,0
42,control,active,0,0
43,treatment,new,0,0
44,treatment,active,0,0
45,treatment,active,0,0
46,treatment,active,0,0
47,treatment,active,0,0
48,control,active,0,0
49,treatment,active,0,0
50,treatment,active,0,0
51,control,new,1,0
52,treatment,dormant,1,0
53,control,new,0,0
54,treatment,new,1,0
55,control,active,0,0
56,treatment,active,0,0
57,treatment,active,0,0
58,control,active,0,0
59,control,active,0,0
60,control,active,0,0
61,control,dormant,0,0
62,control,dormant,0,0
63,control,active,0,0
64,control,active,0,0
65,control,dormant,0,0
66,treatment,new,0,0
67,treatment,active,0,0
68,control,active,0,0
69,treatment,dormant,0,0
70,treatment,new,1,0
71,treatment,active,1,0
72,treatment,dormant,0,0
73,control,active,0,0
74,treatment,new,0,0
75,control,dormant,1,1
76,treatment,active,0,0
77,treatment,active,0,0
78,treatment,active,0,0
79,control,active,0,0
80,treatment,active,0,0
81,control,new,0,0
82,treatment,new,0,0
83,control,dormant,0,0
84,treatment,active,0,0
85,control,new,0,0
86,control,active,0,0
87,treatment,dormant,1,1
88,control,new,0,0
89,treatment,active,0,0
90,treatment,new,0,0
91,treatment,new,0,0
92,treatment,new,0,0
93,treatment,dormant,0,0
94,treatment,new,0,0
95,treatment,new,0,0
96,treatment,active,0,0
97,treatment,dormant,0,0
98,treatment,active,0,0
99,treatment,active,0,0
100,control,new,0,0
101,control,active,0,0
102,treatment,active,0,0
103,treatment,active,0,0
104,treatment,active,0,0
105,treatment,active,1,0
106,treatment,new,1,1
107,treatment,active,0,0
108,treatment,new,0,0
109,treatment,dormant,0,0
110,control,dormant,0,0
111,treatment,dormant,1,0
112,control,dormant,0,0
113,treatment,active,1,0
114,treatment,dormant,0,0
115,control,active,0,0
116,treatment,active,1,1
117,control,active,0,0
118,treatment,active,1,0
119,treatment,dormant,0,0
120,control,active,0,0
121,treatment,active,0,0
122,control,dormant,0,0
123,treatment,new,0,0
124,control,active,0,0
125,control,dormant,0,0
126,treatment,active,0,0
127,treatment,active,0,0
128,control,active,0,0
129,treatment,active,1,0
130,treatment,dormant,0,0
131,treatment,active,0,0
132,control,active,1,1
133,control,new,1,0
134,control,new,0,0
135,control,dormant,0,0
136,control,active,0,0
137,control,active,0,0
138,control,new,0,0
139,control,active,0,0
140,control,dormant,1,1
141,treatment,active,0,0
142,control,new,1,0
143,treatment,active,0,0
144,treatment,dormant,0,0
145,treatment,active,0,0
146,control,dormant,1,0
147,control,active,0,0
148,control,dormant,0,0
149,control,active,1,0
150,treatment,new,0,0
151,control,active,0,0
152,control,active,1,0
153,control,dormant,1,1
154,control,dormant,0,0
155,control,active,0,0
156,treatment,active,0,0
157,control,new,0,0
158,treatment,dormant,0,0
159,control,active,0,0
160,treatment,active,0,0
161,control,active,0,0
162,control,new,0,0
163,treatment,active,0,0
164,treatment,active,0,0
165,treatment,new,0,0
166,control,dormant,0,0
167,treatment,active,0,0
168,control,new,0,0
169,control,active,0,0
170,treatment,dormant,1,0
171,treatment,active,0,0
172,control,active,0,0
173,control,new,0,0
174,treatment,new,0,0
175,treatment,active,1,0
176,treatment,dormant,0,0
177,control,dormant,0,0
178,control,new,0,0
179,control,active,0,0
180,control,dormant,0,0
181,control,active,0,0
182,control,dormant,0,0
183,treatment,new,1,1
184,control,dormant,0,0
185,control,dormant,0,0
186,control,dormant,0,0
187,treatment,active,0,0
188,control,active,0,0
189,control,dormant,0,0
190,treatment,active,0,0
191,control,active,1,1
192,control,dormant,0,0
193,control,dormant,0,0
194,control,dormant,0,0
195,control,active,0,0
196,treatment,dormant,0,0
197,treatment,dormant,1,0
198,treatment,new,1,0
199,control,active,0,0
200,control,active,0,0
201,control,active,0,0
202,treatment,dormant,0,0
203,control,active,0,0
204,control,dormant,0,0
205,treatment,dormant,0,0
206,control,active,0,0
207,treatment,dormant,1,0
208,treatment,active,1,0
209,treatment,dormant,0,0
210,control,new,0,0
211,control,dormant,1,0
212,control,active,0,0
213,control,active,1,0
214,control,dormant,0,0
215,control,active,0,0
216,control,active,0,0
217,treatment,active,1,0
218,control,dormant,0,0
219,treatment,active,0,0
220,control,new,0,0
221,control,active,1,1
222,control,active,1,1
223,treatment,new,1,0
224,treatment,active,1,1
225,treatment,active,0,0
226,treatment,new,0,0
227,control,active,0,0
228,treatment,dormant,0,0
229,control,new,1,1
230,control,active,1,0
231,treatment,active,0,0
232,treatment,active,0,0
233,treatment,dormant,1,0
234,treatment,active,0,0
235,treatment,active,0,0
236,treatment,new,0,0
237,treatment,active,0,0
238,treatment,active,0,0
239,control,new,0,0
240,treatment,active,0,0
241,treatment,dormant,1,1
242,control,active,0,0
243,treatment,active,0,0
244,control,dormant,1,0
245,control,dormant,0,0
246,treatment,active,0,0
247,control,dormant,1,0
248,control,dormant,0,0
249,control,active,0,0
250,control,active,0,0
251,treatment,active,0,0
252,control,dormant,0,0
253,treatment,active,0,0
254,control,new,0,0
255,control,dormant,0,0
256,control,active,1,1
257,control,new,0,0
258,treatment,active,0,0
259,treatment,active,1,0
260,control,dormant,0,0
261,control,active,0,0
262,treatment,dormant,1,0
263,control,active,0,0
264,control,new,0,0
265,control,dormant,0,0
266,treatment,active,0,0
267,treatment,active,0,0
268,treatment,active,0,0
269,control,dormant,0,0
270,control,active,0,0
271,treatment,new,0,0
272,treatment,new,0,0
273,treatment,active,0,0
274,treatment,dormant,1,0
275,control,active,0,0
276,treatment,active,0,0
277,control,new,0,0
278,treatment,active,0,0
279,control,dormant,0,0
280,treatment,active,1,0
281,treatment,dormant,1,0
282,treatment,active,1,0
283,treatment,new,1,0
284,control,dormant,0,0
285,treatment,active,0,0
286,control,dormant,0,0
287,control,dormant,0,0
288,control,new,1,1
289,control,new,0,0
290,treatment,dormant,1,0
291,control,active,0,0
292,control,new,1,0
293,control,new,0,0
294,treatment,new,0,0
295,treatment,dormant,0,0
296,treatment,new,1,0
297,treatment,active,1,1
298,control,active,0,0
299,control,active,0,0
300,treatment,new,0,0
301,control,dormant,1,0
302,control,new,0,0
303,control,dormant,0,0
304,treatment,dormant,0,0
305,treatment,active,0,0
306,control,active,0,0
307,treatment,active,0,0
308,treatment,active,1,1
309,treatment,dormant,1,0
310,treatment,dormant,0,0
311,treatment,active,1,1
312,control,active,0,0
313,treatment,dormant,0,0
314,control,dormant,0,0
315,control,active,0,0
316,treatment,active,1,0
317,control,active,0,0
318,control,dormant,0,0
319,control,new,0,0
320,treatment,active,0,0
321,treatment,active,1,0
322,control,active,0,0
323,treatment,active,0,0
324,treatment,dormant,1,0
325,treatment,new,0,0
326,treatment,active,0,0
327,control,new,0,0
328,control,new,0,0
329,treatment,active,1,0
330,treatment,active,0,0
331,control,active,0,0
332,control,active,1,1
333,treatment,new,0,0
334,control,active,0,0
335,treatment,dormant,0,0
336,treatment,dormant,1,0
337,control,active,0,0
338,control,active,0,0
339,treatment,dormant,0,0
340,treatment,new,0,0
341,control,dormant,0,0
342,treatment,dormant,0,0
343,control,new,0,0
344,treatment,new,0,0
345,control,dormant,0,0
346,control,active,1,0
347,control,new,0,0
348,treatment,active,0,0
349,treatment,active,0,0
350,control,active,0,0
351,treatment,dormant,0,0
352,control,dormant,0,0
353,control,active,0,0
354,treatment,active,1,1
355,treatment,active,0,0
356,control,active,0,0
357,treatment,new,0,0
358,treatment,dormant,1,0
359,control,dormant,0,0
360,control,active,0,0
361,treatment,active,1,0
362,control,active,0,0
363,control,active,0,0
364,treatment,active,0,0
365,control,active,1,1
366,control,dormant,0,0
367,treatment,active,1,1
368,treatment,active,0,0
369,control,dormant,0,0
370,control,new,0,0
371,treatment,active,0,0
372,treatment,active,0,0
373,treatment,active,0,0
374,treatment,dormant,0,0
375,control,active,0,0
376,treatment,dormant,0,0
377,treatment,active,1,1
378,control,active,0,0
379,treatment,dormant,1,0
380,control,active,0,0
381,treatment,active,1,0
382,treatment,active,0,0
383,treatment,active,0,0
384,control,new,1,0
385,control,active,1,0
386,treatment,active,0,0
387,control,active,0,0
388,control,dormant,0,0
389,control,active,0,0
390,control,dormant,1,1
391,control,new,0,0
392,control,active,1,0
393,treatment,dormant,0,0
394,treatment,active,1,1
395,control,dormant,1,0
396,treatment,active,0,0
397,treatment,new,0,0
398,treatment,active,1,0
399,treatment,active,0,0
400,control,dormant,0,0
401,treatment,active,0,0
402,treatment,dormant,0,0
403,control,dormant,1,0
404,control,active,0,0
405,treatment,active,1,1
406,treatment,dormant,0,0
407,treatment,dormant,0,0
408,treatment,active,0,0
409,treatment,active,0,0
410,treatment,active,0,0
411,control,active,0,0
412,treatment,active,0,0
413,treatment,dormant,1,1
414,control,new,0,0
415,control,new,0,0
416,control,active,0,0
417,control,active,0,0
418,treatment,active,0,0
419,treatment,active,0,0
420,treatment,active,0,0
421,treatment,new,0,0
422,treatment,active,0,0
423,treatment,dormant,0,0
424,control,active,0,0
425,treatment,active,1,1
426,control,active,0,0
427,control,dormant,0,0
428,treatment,active,0,0
429,control,active,1,0
430,treatment,dormant,0,0
431,control,active,0,0
432,treatment,new,1,0
433,control,active,0,0
434,treatment,new,0,0
435,treatment,active,0,0
436,treatment,dormant,0,0
437,treatment,active,1,0
438,treatment,dormant,0,0
439,control,new,0,0
440,control,dormant,0,0
441,control,active,1,0
442,treatment,active,0,0
443,control,new,0,0
444,treatment,dormant,0,0
445,treatment,new,0,0
446,control,new,0,0
447,control,active,0,0
448,treatment,active,0,0
449,control,active,0,0
450,treatment,new,0,0
451,treatment,active,0,0
